title,source,csv file,git hub csv file,pdf link,pdf name,year
Number of prisoners in Nepal(1994-2014),International Centre for prison studies,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/data_34.csv&nid=5273,"https://github.com/opennepal/odp-government-and-civil-society/tree/master/Number of prisoners in Nepal,(1994-2014)/data.csv",,,1994-2014
Corruption Perceptions Index ranks2012-2014,Transparency International,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/data_27.csv&nid=5175,"https://github.com/opennepal/odp-government-and-civil-society/tree/master/Corruption Perceptions Index ranks,2012-2014/data.csv",,,2012-2014
People disappeared during Maoist war,International Red Cross Society,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/Missing and dead person_0.csv&nid=4501,https://github.com/opennepal/odp-government-and-civil-society/tree/master/People disappeared during Maoist war/data.csv,https://www.icrc.org/eng/assets/files/reports/report-missing-persons-nepal-2013-english.pdf,report-missing-persons-nepal-2013-english.pdf,
Number of Strike days,,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/Strikes districtwise.csv&nid=4481,https://github.com/opennepal/odp-government-and-civil-society/tree/master/Number of Strike days/data.csv,http://www.nrb.org.np/ecorev/pdffiles/vol26-1_art1.pdf,vol26-1_art1.pdf,2008-2013
Open Budget Index for Nepal,Open Budget Partnership,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/Open_budget_index.csv&nid=1323,https://github.com/opennepal/odp-government-and-civil-society/tree/master/Open Budget Index for Nepal/data.csv,,,2006-2012
Corruption Perception Index for Nepal,Transparency International,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/Corruption_Perceptions_Index.csv&nid=1321,https://github.com/opennepal/odp-government-and-civil-society/tree/master/Corruption Perception Index for Nepal/data.csv,,,2004-2011
Press Freedom Violation,Freedom Forum,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/Press_Freedom_Violations.csv&nid=177,https://github.com/opennepal/odp-government-and-civil-society/tree/master/Press Freedom Violation/data.csv,,,
